"tweet_id","in_reply_to_status_id","in_reply_to_user_id","retweeted_status_id","retweeted_status_user_id","timestamp","source","text","expanded_urls"
"309655840158273536","","","","","2013-03-07 13:24:40 +0000","<a href=""https://itunes.apple.com/us/app/reeder/id325502379?mt=8&uo=4"" rel=""nofollow"">Reeder on iOS</a>","Blowing Second-Hand Smoke http://t.co/3dDrDino64","http://daviddfriedman.blogspot.com/2013/02/blowing-second-hand-smoke.html"
"308933234249576448","","208213565","","","2013-03-05 13:33:17 +0000","<a href=""http://twitterrific.com"" rel=""nofollow"">Twitterrific</a>","@pillboxie keeps losing my checkmarks, usually after I checked it off late and changed the time taken."
"304622839280054273","","","","","2013-02-21 16:05:19 +0000","<a href=""http://twitterrific.com"" rel=""nofollow"">Twitterrific</a>","RT @Streamified ... our iPad app is currently deprecated; we hope to update it in the coming months | It seems like the iOS update upset it."
"304622086087909376","","","","","2013-02-21 16:02:19 +0000","<a href=""http://twitterrific.com"" rel=""nofollow"">Twitterrific</a>","I'm trying out Any.DO, another task manager. My previous one, BugMe!, was bugging me...  http://t.co/V5D6qxR7Hp","http://mashable.com/2013/02/20/any-do-moment/"
"299238551332212736","","","","","2013-02-06 19:30:04 +0000","<a href=""http://Streamified.com"" rel=""nofollow"">Streamified</a>","Warning: the French Toast Alert Level has reached ""severe"":  http://t.co/PWFOCgyf","http://fave.co/TLh4Jb"
"294653534178246656","","","294470989029462016","131498466","2013-01-25 03:50:51 +0000","<a href=""http://Streamified.com"" rel=""nofollow"">Streamified</a>","RT @TeXtip: How to put PDF properties in a LaTeX file http://t.co/hrrLOSr6","http://bit.ly/ayXQxr"
"294650863148994560","","","294497860353925120","12705772","2013-01-25 03:40:14 +0000","<a href=""http://Streamified.com"" rel=""nofollow"">Streamified</a>","RT @universalhub: Brookline considering secession from Norfolk County http://t.co/Mxg1vlFr","http://is.gd/tQWLDh"
"294649819799109632","","","294503891448524800","14085070","2013-01-25 03:36:06 +0000","<a href=""http://Streamified.com"" rel=""nofollow"">Streamified</a>","RT @carlzimmer: Does a three-foot-long parasitic worm ease your pain by doping you with morphine from the inside? The answer may be yes  ..."
"293140085606604800","","","293112341632012288","18977988","2013-01-20 23:36:57 +0000","<a href=""http://Streamified.com"" rel=""nofollow"">Streamified</a>","RT @MikeStackpole: Children 'may grow out of autism' http://t.co/BpvzOtiJ","http://www.bbc.co.uk/news/health-21029593"
"293102571172818945","","","293046596264927233","16467567","2013-01-20 21:07:53 +0000","<a href=""http://Streamified.com"" rel=""nofollow"">Streamified</a>","RT @reason: Nassim Taleb Talks Antifragile, Libertarianism, and Capitalism's Genius for Failure http://t.co/rYaLQlk3","http://ow.ly/2un5oF"
"293087294099972096","","","293012497760403456","278173042","2013-01-20 20:07:10 +0000","<a href=""http://Streamified.com"" rel=""nofollow"">Streamified</a>","RT @HarveyWCVB: Meanwhile, Boston's low temps. could approach 0 Wed. and/ or Thu. mornings...our winter ""slumber party"" is almost over"
"292864949527646208","","","292850201230725120","97808336","2013-01-20 05:23:39 +0000","<a href=""http://Streamified.com"" rel=""nofollow"">Streamified</a>","RT @FrenchToastAlrt: CURRENT FRENCH TOAST ALERT LEVEL: GUARDED -- http://t.co/0GldDRDG #fb","http://bit.ly/TCvh"
"292864746938568704","","","291633333950091265","161078090","2013-01-20 05:22:51 +0000","<a href=""http://Streamified.com"" rel=""nofollow"">Streamified</a>","RT @hsu_steve: Discrete genetic modules can control complex behavior: ""Horses ain't like people, man, they can't make themselve... http: ..."
"292841644586319872","","","292322974487437312","16467567","2013-01-20 03:51:03 +0000","<a href=""http://Streamified.com"" rel=""nofollow"">Streamified</a>","RT @reason: GAO Says It's Unable to Audit the Government's Consolidated Financial Statements. Again. http://t.co/fvKVsZHp","http://ow.ly/2ulaB5"
